"routine_name","routine_type","data_type"
"insertar_respuesta","FUNCTION","void"
"insertar_publicacion","FUNCTION","void"
"insertar_multimedia","FUNCTION","void"
"aprobar_solicitud_plantilla","FUNCTION","void"
"digest","FUNCTION","bytea"
"digest","FUNCTION","bytea"
"hmac","FUNCTION","bytea"
"hmac","FUNCTION","bytea"
"crypt","FUNCTION","text"
"gen_salt","FUNCTION","text"
"gen_salt","FUNCTION","text"
"encrypt","FUNCTION","bytea"
"decrypt","FUNCTION","bytea"
"encrypt_iv","FUNCTION","bytea"
"decrypt_iv","FUNCTION","bytea"
"gen_random_bytes","FUNCTION","bytea"
"gen_random_uuid","FUNCTION","uuid"
"pgp_sym_encrypt","FUNCTION","bytea"
"pgp_sym_encrypt_bytea","FUNCTION","bytea"
"pgp_sym_encrypt","FUNCTION","bytea"
"pgp_sym_encrypt_bytea","FUNCTION","bytea"
"pgp_sym_decrypt","FUNCTION","text"
"pgp_sym_decrypt_bytea","FUNCTION","bytea"
"pgp_sym_decrypt","FUNCTION","text"
"pgp_sym_decrypt_bytea","FUNCTION","bytea"
"pgp_pub_encrypt","FUNCTION","bytea"
"pgp_pub_encrypt_bytea","FUNCTION","bytea"
"pgp_pub_encrypt","FUNCTION","bytea"
"pgp_pub_encrypt_bytea","FUNCTION","bytea"
"pgp_pub_decrypt","FUNCTION","text"
"pgp_pub_decrypt_bytea","FUNCTION","bytea"
"pgp_pub_decrypt","FUNCTION","text"
"pgp_pub_decrypt_bytea","FUNCTION","bytea"
"pgp_pub_decrypt","FUNCTION","text"
"pgp_pub_decrypt_bytea","FUNCTION","bytea"
"pgp_key_id","FUNCTION","text"
"armor","FUNCTION","text"
"armor","FUNCTION","text"
"dearmor","FUNCTION","bytea"
"pgp_armor_headers","FUNCTION","record"
"inicio_sesion_admin","FUNCTION","boolean"
